,Name,Brand,Price,Link,Storage
65,"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 15.6"" FHD Laptop with DDR5 RAM",Lenovo,60000,https://www.startech.com.bd/lenovo-ideapad-1-15amn7-amd-ryzen-5-fhd-laptop,"RAM: 8GB DDR5 5500MHz, Storage: 256GB  SSD"
66,"HP 15s-fq5487TU Core i3 12th Gen 15.6"" FHD Laptop",HP,62900,https://www.startech.com.bd/hp-15s-fq5487tu-core-i3-12th-gen-laptop,"RAM: 8GB RAM, Storage: 256GB SSD"
67,"DOEL T10 Core i5 10th Gen 14"" FHD Laptop",DOEL,62999,https://www.startech.com.bd/doel-t10-core-i5-10th-gen-laptop,"RAM: 8GB DDR4, Storage: 512GB SSD"
68,"ASUS VivoBook 15 X515JA Core i5 10th Gen 8GB RAM 15.6"" FHD Laptop",ASUS,63000,https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i5-laptop,"RAM: 8GB DDR4, Storage: 1TB HDD"
69,"Dell Latitude 14 3420 Core i3 11th Gen 14"" HD Laptop",Dell,63000,https://www.startech.com.bd/dell-latitude-14-3420-core-i3-11th-gen-laptop,"RAM: 4 GB 3200MHz, Storage: 256GB SSD"
70,"ASUS VivoBook 15 X1500EA Core i3 11th Gen 15.6"" FHD Laptop",ASUS,63000,https://www.startech.com.bd/asus-vivobook-15-x1500ea-core-i3-11th-gen-laptop,"RAM: 8GB DDR4 , Storage: 1TB HDD"
71,"ASUS VivoBook 15 X1500EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop",ASUS,63000,https://www.startech.com.bd/asus-vivobook-15-x1500ea-core-i3-11th-gen-fhd-laptop,"RAM: 8GB DDR4 , Storage: 512GB SSD"
72,"Asus VivoBook 14 X1400EA Core i3 11th Gen 14"" FHD Laptop ",Asus,63000,https://www.startech.com.bd/asus-vivobook-14-x1400ea-core-i3-fhd-laptop ,"RAM: 8GB DDR4 , Storage: 512GB"
73,"HP 15s-fq5786TU Core i3 12th Gen 15.6"" FHD Laptop",HP,62500,https://www.startech.com.bd/hp-15s-fq5786tu-core-i3-12th-gen-laptop,"RAM: 8GB RAM, Storage: 512GB SSD"
74,"Huawei MateBook D15 Core i3 11th Gen 15.6"" FHD Laptop",Huawei,60500,https://www.startech.com.bd/huawei-matebook-d15-core-i3-11th-gen-laptop,"RAM: 8GB DDR4 , Storage: 256GB SSD"
75,"HUAWEI MateBook B3-520 Core i3 11th Gen 15.6"" FHD Laptop",HUAWEI,60500,https://www.startech.com.bd/huawei-matebook-b3-520-core-i3-11th-gen-laptop,"RAM: 8GB LPDDR4X, Storage: 256GB SSD"
76,"Lenovo IdeaPad 1 14AMN7 AMD Ryzen 5 500GB SSD 14"" FHD Laptop with DDR5 RAM",Lenovo,62000,https://www.startech.com.bd/lenovo-ideapad-1-14amn7-amd-ryzen-5-laptop,"RAM: 8GB DDR5 5500MHz, Storage: 500GB M.2 NVMe SSD"
77,"Dell Inspiron 15 3520 Core i3 12th Gen 15.6"" FHD Laptop",Dell,62943,https://www.startech.com.bd/dell-inspiron-15-3520-core-i3-fhd-laptop,"RAM: 8GB RAM, Storage: 512GB SSD"
78,"Walton Passion BX510U Core i5 10th Gen 15.6"" FHD Laptop",Walton,64550,https://www.startech.com.bd/walton-passion-bx510u-core-i5-10th-gen-laptop,"RAM: 8GB 2666MHz, Storage: 512GB SATAIII M.2 2280 SSD"
